BangleId,Time,Latitude,Longitude,Altitude,Heartrate,Confidence,Source,Battery Percentage,Battery Voltage,Charging,Steps,Barometer Temperature,Barometer Pressure,Barometer Altitude,Inspected
b8:4h,2022-10-01 14:47:27,50.736433,7.107616,30.0,55,79,,93,3.27128906249,False,51,30.82360992431,1015.3894045078,-17.79679867377,false
b8:4h,2022-10-01 14:47:57,50.736183,7.10759,-31.0,50,42,,93,3.2765625,False,52,30.76280975341,1015.55682135796,-19.18818710728,false
b8:4h,2022-10-01 14:48:27,50.735848,7.107989,5.0,46,51,,93,3.26865234374,False,48,30.66377716064,1015.47042181693,-18.47015042842,false
b8:4h,2022-10-01 14:48:57,50.735457,7.108206,18.0,45,74,,92,3.26953124999,False,53,30.65806884765,1015.61712929961,-19.68935622322,false
b8:4h,2022-10-01 14:49:27,50.735103,7.108545,49.0,46,56,,93,3.28007812499,False,47,30.59023284912,1015.6566382341,-20.01766903551,false
b8:4h,2022-10-01 14:49:57,50.734837,7.108698,57.0,57,29,,93,3.2765625,False,51,30.52916717529,1015.62579497748,-19.76136748066,false
b8:4h,2022-10-01 14:50:27,50.734529,7.108744,51.0,56,56,,92,3.27480468749,False,44,30.47082290649,1015.64599627387,-19.92923709646,false
b8:4h,2022-10-01 14:50:57,50.734271,7.108827,52.0,46,49,,92,3.2765625,False,50,30.32851333618,1015.69720179839,-20.35473489111,false
b8:4h,2022-10-01 14:51:27,50.733951,7.108912,56.0,48,71,,92,3.26689453124,False,49,30.24315414428,1015.6612140537,-20.05569268312,false
b8:4h,2022-10-01 14:51:57,50.733655,7.108994,52.0,51,78,,91,3.27480468749,False,52,30.19576187133,1015.5316206498,-18.97875785453,false
b8:4h,2022-10-01 14:52:27,50.733406,7.109145,47.0,41,51,,92,3.27392578124,False,47,30.22841873168,1015.62806710827,-19.78024866735,false
b8:4h,2022-10-01 14:52:57,50.733117,7.109259,47.0,48,55,,90,3.27041015624,False,46,30.19582824707,1016.08712839058,-23.59430211063,false
b8:4h,2022-10-01 14:53:27,50.732723,7.109424,48.0,52,75,,92,3.26865234374,False,50,30.128125,1015.66783988466,-20.11075104604,false
b8:4h,2022-10-01 14:53:57,50.732387,7.109439,44.0,54,79,,92,3.27216796874,False,50,30.06871871948,1015.65042119706,-19.9660071556,false
b8:4h,2022-10-01 14:54:27,50.732127,7.109513,44.0,58,68,,91,3.27304687499,False,50,30.01137008666,1015.94953810927,-22.4512968566,false
b8:4h,2022-10-01 14:54:57,50.731849,7.10966,51.0,41,96,,91,3.27216796874,False,50,29.99099273681,1015.57961401086,-19.37760071055,false
b8:4h,2022-10-01 14:55:27,50.731589,7.109796,51.0,52,57,,91,3.26777343749,False,42,30.02922515869,1015.51720833782,-18.85898314916,false
b8:4h,2022-10-01 14:55:57,50.731271,7.109955,50.0,39,80,,90,3.26689453124,False,48,29.94041442871,1015.66558599121,-20.09202200388,false
b8:4h,2022-10-01 14:56:27,50.731016,7.110087,54.0,52,55,,91,3.27744140624,False,37,29.92322311401,1015.56311290136,-19.24047201463,false
b8:4h,2022-10-01 14:56:59,50.730666,7.11028,53.0,52,85,,90,3.27128906249,False,49,29.93902053833,1015.6339910095,-19.82947555172,false
b8:4h,2022-10-01 14:57:29,50.730394,7.110429,53.0,54,75,,91,3.26865234374,False,51,29.96105728149,1015.61313867284,-19.6561941896,false
b8:4h,2022-10-01 14:58:00,50.730113,7.110603,53.0,44,58,,91,3.27216796874,False,48,29.93550262451,1015.50837124103,-18.78554104794,false
b8:4h,2022-10-01 14:58:30,50.729819,7.110814,49.0,56,100,,91,3.27304687499,False,51,29.894947052,1015.5508381236,-19.13846411165,false
b8:4h,2022-10-01 14:59:00,50.729493,7.111097,50.0,41,88,,91,3.27216796874,False,46,29.86202468872,1015.63156470286,-19.80931327262,false
b8:4h,2022-10-01 14:59:30,50.72914,7.111348,51.0,39,73,,90,3.2765625,False,51,29.8896369934,1015.66424236157,-20.0808569099,false
b8:4h,2022-10-01 15:00:00,50.728785,7.111605,57.0,35,100,,89,3.26953124999,False,50,29.8339477539,1015.58965281442,-19.46102500859,false
b8:4h,2022-10-01 15:00:30,50.728387,7.111945,58.0,50,90,,91,3.27392578124,False,51,29.69130630493,1015.4398835477,-18.21634561137,false
b8:4h,2022-10-01 15:01:00,50.728119,7.112254,60.0,49,81,,89,3.27568359374,False,51,29.59048156738,1015.64303473714,-19.90462735818,false
b8:4h,2022-10-01 15:01:30,50.727853,7.112473,56.0,37,38,,89,3.27392578124,False,49,29.57116622924,1015.56201056057,-19.23131119938,false
b8:4h,2022-10-01 15:02:00,50.72758,7.112717,55.0,65,55,,90,3.2765625,False,48,29.51494598388,1016.06648382543,-23.42280927954,false
b8:4h,2022-10-01 15:02:30,50.727289,7.113042,52.0,49,63,,90,3.26953124999,False,50,29.54362030029,1015.53484069589,-19.00551812452,false
b8:4h,2022-10-01 15:03:00,50.7269,7.113353,47.0,52,62,,90,3.27568359374,False,50,29.53472595214,1015.49856492326,-18.7040434756,false
b8:4h,2022-10-01 15:03:30,50.726639,7.113706,55.0,39,83,,88,3.27041015624,False,47,29.55271377563,1015.49016113516,-18.63420142915,false
b8:4h,2022-10-01 15:04:00,50.726385,7.114019,51.0,42,77,,89,3.27568359374,False,49,29.57647628784,1015.46807829964,-18.45067357834,false
b8:4h,2022-10-01 15:04:30,50.726166,7.114282,50.0,61,52,,88,3.2765625,False,50,29.52377395629,1015.93670727485,-22.34470073588,false
b8:4h,2022-10-01 15:05:00,50.725937,7.114577,54.0,50,78,,88,3.27392578124,False,46,29.48155899047,1015.49193679795,-18.64895861356,false
b8:4h,2022-10-01 15:05:30,50.725656,7.114952,58.0,50,63,,88,3.27480468749,False,47,29.4605178833,1015.54638612798,-19.10146614927,false
b8:4h,2022-10-01 15:06:00,50.725451,7.115225,54.0,50,53,,89,3.27744140624,False,31,29.33818740844,1015.45958896908,-18.38011888975,false
b8:4h,2022-10-01 15:06:30,50.72526,7.115471,54.0,40,79,,89,3.27392578124,False,35,29.26484222412,1015.36114630304,-17.56192860719,false
b8:4h,2022-10-01 15:07:00,50.725084,7.115785,56.0,47,70,,88,3.27128906249,False,29,29.14702529907,1015.49175255953,-18.64742744526,false
b8:4h,2022-10-01 15:07:30,50.724859,7.116077,53.0,44,75,,88,3.27216796874,False,45,29.04089050292,1015.45481570898,-18.34044819268,false
b8:4h,2022-10-01 15:08:00,50.72462,7.116408,51.0,58,58,,88,3.27041015624,False,42,28.90316085815,1015.45561772854,-18.34711381007,false
b8:4h,2022-10-01 15:08:30,50.724397,7.116737,48.0,46,69,,88,3.27744140624,False,46,28.76350631713,1015.46815533778,-18.45131383891,false
b8:4h,2022-10-01 15:09:00,50.724197,7.117148,51.0,47,93,,88,3.27480468749,False,46,28.63812255859,1015.45214503144,-18.31825205176,false
b8:4h,2022-10-01 15:09:30,50.724006,7.117449,55.0,55,32,,87,3.27392578124,False,38,28.54705505371,1015.5892667168,-19.45781647893,false
b8:4h,2022-10-01 15:10:00,50.723776,7.117831,57.0,47,28,,86,3.26953124999,False,45,28.45027923583,1015.48915066364,-18.62580358972,false
b8:4h,2022-10-01 15:10:30,50.723538,7.118161,55.0,47,82,,87,3.26689453124,False,35,28.29210586547,1015.52134144048,-18.89333177984,false
b8:4h,2022-10-01 15:11:00,50.723268,7.118494,55.0,53,45,,87,3.27392578124,False,33,28.23734588623,1015.55856102769,-19.20264439219,false
b8:4h,2022-10-01 15:11:30,50.723039,7.118909,61.0,34,92,,88,3.27041015624,False,35,28.18046188354,1015.54278331995,-19.07152519807,false
b8:4h,2022-10-01 15:12:00,50.722889,7.119267,62.0,42,89,,86,3.27216796874,False,28,28.15225219726,1015.41680223544,-18.02451177074,false
b8:4h,2022-10-01 15:12:30,50.722744,7.119562,62.0,47,69,,88,3.27216796874,False,21,28.16227493286,1015.52309724779,-18.90792358658,false
b8:4h,2022-10-01 15:13:00,50.722577,7.119765,57.0,42,93,,86,3.27041015624,False,16,28.15324783325,1015.44661379411,-18.27228149818,false
b8:4h,2022-10-01 15:13:30,50.7224,7.120033,56.0,54,31,,86,3.27216796874,False,16,28.17913436889,1015.48658470687,-18.60447837323,false
b8:4h,2022-10-01 15:14:00,50.722235,7.120282,56.0,40,61,,86,3.2765625,False,40,28.19486541748,1015.39641752994,-17.85508708335,false
b8:4h,2022-10-01 15:14:30,50.722037,7.120647,56.0,41,88,,86,3.27480468749,False,43,28.29091110229,1015.81681439578,-21.34860092057,false
b8:4h,2022-10-01 15:15:00,50.721864,7.121085,61.0,40,93,,85,3.26953124999,False,43,28.30119934082,1015.34026842385,-17.38839723858,false
b8:4h,2022-10-01 15:15:34,50.721569,7.121562,57.0,63,60,,85,3.27128906249,False,46,28.28075561523,1015.33650397207,-17.35710781109,false
b8:4h,2022-10-01 15:16:04,50.721365,7.121947,54.0,51,57,,85,3.27041015624,False,51,28.29960632324,1015.27497075127,-16.84564173402,false
b8:4h,2022-10-01 15:16:35,50.721191,7.122352,56.0,47,34,,85,3.26865234374,False,49,28.40527648925,1015.35478900327,-17.5090887315,false
